Date,Pilgrims
2022-04-01,56958
2022-04-02,62925
2022-04-03,71034
2022-04-04,66112
2022-04-05,66381
2022-04-06,68009
2022-04-07,65840
2022-04-08,60790
2022-04-09,70727
2022-04-10,66593
2022-04-11,63223
2022-04-12,72567
2022-04-13,88748
2022-04-14,82722
2022-04-15,75110
2022-04-16,76746
2022-04-17,68299
2022-04-18,64157
2022-04-19,67858
2022-04-20,66745
2022-04-21,62278
2022-04-22,63084
2022-04-23,75438
2022-04-24,67347
2022-04-25,65763
2022-04-26,67681
2022-04-27,75078
2022-04-28,64380
2022-04-29,65725
2022-04-30,75010
2022-05-01,75010
2022-05-02,65756
2022-05-03,67577
2022-05-04,69603
2022-05-05,59528
2022-05-06,63265
2022-05-07,76324
2022-05-08,75876
2022-05-09,69154
2022-05-10,61090
2022-05-11,61863
2022-05-12,61087
2022-05-13,62001
2022-05-14,81107
2022-05-15,81720
2022-05-16,72567
2022-05-17,75400
2022-05-18,74389
2022-05-19,67625
2022-05-20,71119
2022-05-21,83739
2022-05-22,89665
2022-05-23,75324
2022-05-24,75759
2022-05-25,75759
2022-05-26,72758
2022-05-27,73358
2022-05-28,89318
2022-05-29,90885
2022-05-30,74823
2022-05-31,69848
2022-06-01,71914
2022-06-02,66001
2022-06-03,71196
2022-06-04,90165
2022-06-05,78188
2022-06-06,76921
2022-06-07,76425
2022-06-08,75345
2022-06-09,70019
2022-06-10,67949
2022-06-11,87698
2022-06-12,93400
2022-06-13,78602
2022-06-14,79103
2022-06-15,77326
2022-06-16,73371
2022-06-17,76407
2022-06-18,84982
2022-06-19,90471
2022-06-20,76597
2022-06-21,74906
2022-06-22,75472
2022-06-23,68873
2022-06-24,71589
2022-06-25,94411
2022-06-26,88613
2022-06-27,74288
2022-06-28,77154
2022-06-29,70134
2022-06-30,65898
2022-07-01,64628
2022-07-02,88026
2022-07-03,88682
2022-07-04,77907
2022-07-05,73439
2022-07-06,76418
2022-07-07,75407
2022-07-08,73016
2022-07-09,87478
2022-07-10,89013
2022-07-11,62141
2022-07-12,74212
2022-07-13,71289
2022-07-14,74304
2022-07-15,72195
2022-07-16,84885
2022-07-17,73387
2022-07-18,77273
2022-07-19,74503
2022-07-20,76821
2022-07-21,71437
2022-07-22,71395
2022-07-23,78479
2022-07-24,80185
2022-07-25,72873
2022-07-26,68982
2022-07-27,73375
2022-07-28,67364
2022-07-29,58747
2022-07-30,77541
2022-07-31,81287
2022-08-01,71450
2022-08-02,72067
2022-08-03,69628
2022-08-04,62351
2022-08-05,65939
2022-08-06,79525
2022-08-07,81903
2022-08-08,74830
2022-08-09,77277
2022-08-10,74497
2022-08-11,63754
2022-08-12,64079
2022-08-13,83422
2022-08-14,92328
2022-08-15,87692
2022-08-16,72851
2022-08-17,83880
2022-08-18,70674
2022-08-19,64438
2022-08-20,79836
2022-08-21,81523
2022-08-22,72804
2022-08-23,68467
2022-08-24,74748
2022-08-25,68128
2022-08-26,69012
2022-08-27,80312
2022-08-28,74297
2022-08-29,67950
2022-08-30,64336
2022-08-31,66086
2022-09-01,63332
2022-09-02,67525
2022-09-03,79833
2022-09-04,71158
2022-09-05,67843
2022-09-06,70328
2022-09-07,69115
2022-09-08,65470
2022-09-09,64292
2022-09-10,80741
2022-09-11,86793
2022-09-12,74231
2022-09-13,75175
2022-09-14,72540
2022-09-15,65634
2022-09-16,67425
2022-09-17,82392
2022-09-18,88924
2022-09-19,67276
2022-09-20,73186
2022-09-21,74817
2022-09-22,65187
2022-09-23,65158
2022-09-24,77855
2022-09-25,69650
2022-09-26,52682
2022-09-27,51308
2022-09-28,64823
2022-09-29,61879
2022-09-30,75382
2022-10-01,81318
2022-10-02,82463
2022-10-03,82815
2022-10-04,68539
2022-10-05,63579
2022-10-06,72195
2022-10-07,70007
2022-10-08,81034
2022-10-09,86188
2022-10-10,83223
2022-10-11,77956
2022-10-12,79370
2022-10-13,72216
2022-10-14,68675
2022-10-15,81535
2022-10-16,84794
2022-10-17,70067
2022-10-18,73420
2022-10-19,72243
2022-10-20,62725
2022-10-21,62203
2022-10-22,78299
2022-10-23,80565
2022-10-24,69278
2022-10-25,25549
2022-10-26,71689
2022-10-27,67439
2022-10-28,63512
2022-10-29,84878
2022-10-30,85131
2022-10-31,70560
2022-11-01,72176
2022-11-02,68995
2022-11-03,70263
2022-11-04,63670
2022-11-05,82604
2022-11-06,84211
2022-11-07,74094
2022-11-08,22423
2022-11-09,66946
2022-11-10,61304
2022-11-11,57104
2022-11-12,73323
2022-11-13,81130
2022-11-14,69814
2022-11-15,71461
2022-11-16,74412
2022-11-17,65062
2022-11-18,60861
2022-11-19,79471
2022-11-20,80294
2022-11-21,70163
2022-11-22,69587
2022-11-23,74354
2022-11-24,66072
2022-11-25,60157
2022-11-26,76681
2022-11-27,73831
2022-11-28,67468
2022-11-29,69211
2022-11-30,69640
2022-12-01,65568
2022-12-02,64586
2022-12-03,63931
2022-12-04,80001
2022-12-05,66020
2022-12-06,64162
2022-12-07,51376
2022-12-08,54609
2022-12-09,57581
2022-12-10,69383
2022-12-11,72466
2022-12-12,65466
2022-12-13,63214
2022-12-14,59752
2022-12-15,63549
2022-12-16,48928
2022-12-17,64107
2022-12-18,75611
2022-12-19,63759
2022-12-20,63366
2022-12-21,68469
2022-12-22,63145
2022-12-23,62055
2022-12-24,71528
2022-12-25,70373
2022-12-26,62152
2022-12-27,70496
2022-12-28,71299
2022-12-29,67156
2022-12-30,63253
2022-12-31,78460
2023-01-01,78460
2023-01-02,69414
2023-01-03,71924
2023-01-04,61116
2023-01-05,47781
2023-01-06,45887
2023-01-07,62856
2023-01-08,67169
2023-01-09,56003
2023-01-10,58184
2023-01-11,68855
2023-01-12,68354
2023-01-13,68354
2023-01-14,73394
2023-01-15,76307
2023-01-16,69804
2023-01-17,74236
2023-01-18,76229
2023-01-19,67511
2023-01-21,78158
2023-01-22,72998
2023-01-23,70413
2023-01-24,69221
2023-01-25,67493
2023-01-26,58379
2023-01-27,59695
2023-01-28,80094
2023-01-29,78639
2023-01-30,74242
2023-01-31,60939
2023-02-01,61368
2023-02-02,60609
2023-02-03,57147
2023-02-04,72226
2023-02-05,78340
2023-02-06,71496
2023-02-07,65297
2023-02-08,63315
2023-02-09,59090
2023-02-10,57702
2023-02-11,75728
2023-02-12,80969
2023-02-13,71434
2023-02-14,70789
2023-02-15,66033
2023-02-16,54469
2023-02-17,65633
2023-02-18,71350
2023-02-19,79555
2023-02-20,61374
2023-02-21,53755
2023-02-22,62101
2023-02-23,57737
2023-02-24,61265
2023-02-25,76736
2023-02-26,81817
2023-02-27,71387
2023-02-28,59392
2023-03-01,60931
2023-03-02,60682
2023-03-03,58137
2023-03-04,77522
2023-03-05,74994
2023-03-06,65613
2023-03-07,59751
2023-03-08,61921
2023-03-09,58494
2023-03-10,63443
2023-03-11,79561
2023-03-12,81458
2023-03-13,68365
2023-03-14,63285
2023-03-15,63535
2023-03-16,58776
2023-03-17,62938
2023-03-18,75452
2023-03-19,81700
2023-03-20,62824
2023-03-21,57559
2023-03-22,53146
2023-03-23,58955
2023-03-24,63507
2023-03-25,77856
2023-03-26,79415
2023-03-27,67886
2023-03-28,70605
2023-03-29,64754
2023-03-30,60699
2023-03-31,61425
2023-04-01,75510
2023-04-02,82398
2023-04-03,70086
2023-04-04,70497
2023-04-05,73208
2023-04-06,60101
2023-04-07,71782
2023-04-08,85450
2023-04-09,86129
2023-04-10,69781
2023-04-11,65314
2023-04-12,63244
2023-04-13,67687
2023-04-14,66310
2023-04-15,81305
2023-04-16,76201
2023-04-17,67828
2023-04-18,66476
2023-04-19,61050
2023-04-20,56680
2023-04-21,57354
2023-04-22,72631
2023-04-23,74873
2023-04-24,63870
2023-04-25,62971
2023-04-26,63382
2023-04-27,65910
2023-04-28,59071
2023-04-29,75652
2023-04-30,82582
2023-05-01,81183
2023-05-02,75789
2023-05-03,68953
2023-05-04,64707
2023-05-05,59849
2023-05-06,76392
2023-05-07,74876
2023-05-08,65904
2023-05-09,65237
2023-05-10,61510
2023-05-11,67853
2023-05-12,71763
2023-05-13,87007
2023-05-14,87022
2023-05-15,70366
2023-05-16,77436
2023-05-17,79207
2023-05-18,66820
2023-05-19,81833
2023-05-20,85297
2023-05-21,84539
2023-05-22,78349
2023-05-23,75875
2023-05-24,74995
2023-05-25,74583
2023-05-26,79486
2023-05-27,88604
2023-05-28,78818
2023-05-29,78126
2023-05-30,75871
2023-05-31,80284
2023-06-01,62407
2023-06-02,76963
